Player,School,Year,Pick,TRB,AST,STL,BLK,PTS,SOS,TS%,3PAr,FTr
Zion Williamson,Duke,2019,1,8.9,2.1,2.1,1.8,22.6,11.97,0.702,0.163,0.467
Ja Morant,Murray St.,2019,2,6.1,8.2,1.4,0.6,18.7,-3.32,0.597,0.298,0.501
RJ Barrett,Duke,2019,3,7.6,4.3,0.9,0.4,22.6,11.97,0.532,0.338,0.319
DeAndre Hunter,Virginia,2019,4,4.4,1.6,0.6,0.5,12.4,9.61,0.606,0.264,0.42
Darius Garland,Vanderbilt,2019,5,3.8,2.6,0.8,0.4,16.2,7.79,0.657,0.426,0.296
Jarrett Culver,Texas Tech,2019,6,5.6,2.8,1.3,0.6,14.9,9.56,0.548,0.351,0.363
Coby White,North Carolina,2019,7,3.5,4.1,1.1,0.3,16.1,11.35,0.556,0.523,0.293
Jaxson Hayes,Texas,2019,8,5,0.3,0.6,2.2,10,11.46,0.739,0,0.592
Rui Hachimura,Gonzaga,2019,9,4.4,0.8,0.6,0.5,12.1,3.91,0.629,0.095,0.474
Cam Reddish,Duke,2019,10,3.7,1.9,1.6,0.6,13.5,11.97,0.499,0.618,0.264
